,price,year,manufacturer,condition,odometer,type,group
3617,18990,2018.0,honda,good,17932.0,sedan,2
3618,25990,2016.0,gmc,good,49750.0,truck,2
3619,4990,2007.0,toyota,good,50326.0,sedan,1
3620,12490,2014.0,buick,good,31742.0,SUV,3
3621,11990,2015.0,chevrolet,good,18250.0,SUV,3
3622,14990,2013.0,cadillac,good,30979.0,coupe,3
3623,12990,2016.0,gmc,good,43660.0,SUV,2
3624,19990,2018.0,subaru,good,9633.0,wagon,1
3625,16990,2016.0,subaru,good,11026.0,wagon,1
3626,7990,2010.0,honda,good,45425.0,coupe,2
3627,12250,2015.0,mini,good,55205.0,SUV,1
3628,9490,2015.0,chevrolet,good,13610.0,sedan,3
3629,2000,2001.0,honda,excellent,167544.0,sedan,2
3631,6250,2011.0,chevrolet,good,26976.0,sedan,3
3632,17990,2018.0,honda,good,13880.0,hatchback,2
3633,15995,2016.0,nissan,like new,37550.0,SUV,1
3634,1000,2008.0,dodge,fair,167000.0,sedan,3
3636,18999,2015.0,gmc,excellent,121000.0,truck,2
3637,14500,2011.0,hyundai,like new,68000.0,SUV,2
3638,29999,2016.0,gmc,excellent,31620.0,truck,2
3642,0,2013.0,chevrolet,like new,122176.0,pickup,3
